Cohort years,group,Cohort count,"Salaries (-dw, attribution, and displacement) (£)","GVA (-dw, attribution, and displacement) (£)",Savings from reduced reoffending (£),Savings to DWP/Health (£),Volunteer value (mentor and non-mentor) (£),WELLBY (-dw and attribution) (£),Volunteers (-attribution) (£),Total savings (£)
2015/16,North West,4732,16105112.35,29749705.9,480725,1244061,72898.12253063265,9535934.845487542,2176585.987763673,43259910.855781846
2015/16,Northern Ireland,2921,5627158.1,10486422.799999999,300918,548222,44999.03125781446,6556454.153448486,1815714.6392231588,19752730.62392946
2015/16,Scotland,6513,31707241.45,59757913.8,443190,1400859,100335.05326331583,10257228.999106208,2832246.377815823,74791773.23018534
2015/16,South East,2432,9938137.1,17885496,292213,699442,37465.814453613406,3491988.777758414,1029438.4391842419,23436044.03139627
2015/16,South West,3076,15170531.4,27722218.75,334110,930544,47386.860715178795,2771348.335606946,1071772.417124617,32877380.363446742
2015/16,Wales,2345,8119868.95,14501345.95,395105,553304,36125.548887221805,3733732.1109927734,1156956.64102903,20376569.250909023
2015/16,West Midlands,5434,21122428.599999998,36874767.15,471042,1359499,83712.67916979245,6775615.697375594,1988664.4271503007,47553300.953695685
2015/16,Yorkshire and The Humber,2764,9968531.4,17680468.349999998,288168,648954,42580.391097774445,3244580.34180128,1076935.097361248,22981686.1802603
2016/17,East Midlands,3567,17043020.2,29720082.55,427968,1129523,191551.26325498772,7352880.974961822,1284776.9411966458,40106782.72941346
2016/17,East of England,2777,11126182.95,18497148.349999998,403896,791231,149127.5183793386,4652425.436800931,1154291.7831063615,25648120.088286627
2016/17,London,4692,26057753.849999998,49720179.65,555908,1078450,251964.82399562723,6556231.99948041,1778190.453975292,59940924.92745133
2016/17,North East,2686,6752536.85,12113417.15,281002,575779,144240.7325772069,4490668.003214856,1070823.544327961,18675930.430120025
2016/17,North West,4745,15593443.799999999,28807517.45,485905,1231161,254810.97396829736,10599334.147872986,2457030.2440401316,43835758.815881416
2016/17,Northern Ireland,2898,5377485.899999999,10030890.799999999,299238,536424,155625.3324678874,8069152.816323443,2182852.928052854,21274183.876844183
2016/17,Scotland,6437,30486141.65,57450347.4,428138,1383310,345672.96932221914,11221995.383527316,3102060.114599796,73931523.86744933
2016/17,South East,2443,9705337.4,17470250.599999998,282846,697961,131191.40345722876,3322830.5609611315,1016410.7051243201,22921490.26954268
2016/17,South West,3082,14907194.6,27237966.95,327462,934471,165506.305957912,2942875.463494625,1127349.5035006753,32735631.22295321
2016/17,Wales,2362,7797956.95,13926720.45,405052,549728,126841.62708390271,4407028.584570377,1331265.5805162613,20746636.24217054
2016/17,West Midlands,5457,20443153.65,35691817.05,461120,1358712,293046.0452992621,6746501.008098295,2027010.3303336883,46578206.43373124
2016/17,Yorkshire and The Humber,2762,9669492.049999999,17149234.5,293942,646313,148322.0042361301,3373940.7326954952,1137915.1033460423,22749667.340277668
2017/18,East Midlands,3489,15990485.6,27883686.45,420258,1102362,195051.17855703345,7483478.091740189,1307404.299756559,38392240.02005378
2017/18,East of England,2760,10553450.4,17549288.7,398823,775942,154296.71906489317,5084176.459506357,1229085.3520874362,25191612.230658684
2017/18,London,4810,24625229.3,46993904.1,560562,1098371,268901.16619642614,7209635.940083649,1937610.7653341019,58068984.97161418
2017/18,North East,2713,6478363.399999999,11622448.65,279349,568310,151669.20247212145,4785757.578276602,1128837.0990709588,18536371.529819682
2017/18,North West,4838,14811899.4,27366227.7,481229,1215452,270466.4952304178,11603292.41216024,2688428.410322094,43625096.01771275
2017/18,Northern Ireland,2878,4938780.5,9210927.25,296697,511121,160893.46285100092,9887309.638683444,2529179.883394877,22596128.234929323
2017/18,Scotland,6327,28133085.8,53024544.449999996,421706,1364389,353708.45707376057,12231835.616772916,3216298.1176119824,70612481.64145866
2017/18,South East,2618,9521753.549999999,17145362.75,298296,712815,146358.26467822114,3694313.890791686,1134580.4885666945,23131726.394036602
2017/18,South West,3143,14241186.45,26025327.2,327142,931168,175708.18406556494,3266223.343017148,1200368.4046087577,31925937.13169147
2017/18,Wales,2530,7306214.1,13051997.35,397931,557859,141438.65914281877,5385563.2164330585,1581520.6165984895,21116309.842174366
2017/18,West Midlands,5785,19362541,33806263.75,461081,1376192,323408.1593443504,7536318.185918306,2280125.629807066,45783388.725069724
2017/18,Yorkshire and The Humber,2767,9012030.65,15979993.2,288134,636071,154688.0513233911,3695572.5335624996,1183660.3624393449,21938119.147325236
