Cohort years,group,Cohort count,"Salaries (-dw, attribution, and displacement) (£)","GVA (-dw, attribution, and displacement) (£)",Savings from reduced reoffending (£),Savings to DWP/Health (£),Volunteer value (mentor and non-mentor) (£),WELLBY (-dw and attribution) (£),Volunteers (-attribution) (£),Total savings (£)
2025/26,proposition_Enterprise,2594,22168475.15,32992785.7,158586,2770609,326902.42890661664,NA,NA,36248883.128906615
2025/26,NA,10192,43181915.9,66173648.35,717154,5244098,1284421.5710933835,NA,NA,73419321.92109339
2026/27,proposition_Enterprise,848,9936530.6,13107117.299999999,58170,1253467,NA,NA,NA,14418754.299999999
2026/27,NA,3444,19667237.099999998,27370611.15,303596,2403848,NA,NA,NA,30078055.15
2027/28,proposition_Enterprise,150,2608187.6,2339596.9499999997,10618,333186,NA,NA,NA,2683400.9499999997
2027/28,NA,639,5128765.7,5259182.899999999,76883,643231,NA,NA,NA,5979296.899999999
2014/15,NA,43919,181965650.6,330637965.7,4982223,18400124,584434,65098360.224672325,16900310.169128135,436603417.0938004
2015/16,NA,43990,180375270,327697271.7,4978412,18428579,677666,68868272.4347296,18170053.092823166,438820254.2275528
2016/17,NA,43909,174959699.85,317827335.2,4958184,18140245,2357901,73735865.11200167,19669977.23212003,436689507.5441217
2017/18,NA,44659,164975021,299670696.84999996,4935517,17385531,2496588,81863476.90694606,21417099.429598354,427768909.18654436
2018/19,NA,45753,158880041.6,288643491.3,4958558,16957004,2663539,81597778.51365969,22172098.24346292,416992469.0571226
2019/20,proposition_Get A Job- H&SC,320,2059777.8,3605789.25,6511,181040,23273.74338657506,1010101.215463491,184484.20009205054,5011199.408942116
2019/20,NA,39561,139523097.85,253628431.5,4473070,15104371,2877289.256613425,78125167.78425959,21282119.28502372,375490448.82589674
2020/21,proposition_Get A Job- H&SC,1839,11922697.549999999,21965456.05,90990,1039204,175441.65605718127,4431475.4588229265,1005259.3911107255,28707826.555990834
2020/21,NA,30899,118605712.2,217267275.15,3385618,12937336,2947782.3439428187,53987656.26639197,15631696.521437876,306157364.2817727
2021/22,proposition_Get A Job- H&SC,3397,21899085.5,40935848.699999996,138605,2039002,343085.73695284856,6676623.749111187,1486563.601045136,51619728.78710917
2021/22,NA,27970,106275028.25,197531814.5,2648290,12234876,2824877.2630471517,73733882.71136028,18948266.74440379,307922007.2188112
2022/23,proposition_Get A Job- H&SC,5829,35906238.05,66816933.449999996,203954,3553373,721597.1187628739,11399269.12803397,2666790.5201609987,85361917.21695784
2022/23,NA,26698,95201246.95,177815638.65,2230107,11641386,3305060.881237126,81425920.86199774,21402275.20455705,297820388.5977919
2023/24,proposition_Get A Job- H&SC,7778,48423559.05,88500056.05,217413,4912362,1208446.7660195332,11561341.539180035,3083815.3354160246,109483434.6906156
2023/24,NA,25806,88101189.3,162289341.45,1910317,11295454,4009408.2339804666,77474954.8795095,21449971.568864893,278429447.13235486
2024/25,proposition_Get A Job- H&SC,6200,42760189.25,69024081.7,171030,4403869,1097699.7294733513,5247354.61648154,1575690.8978717343,81519725.94382663
2024/25,NA,22263,71460386.55,113682354.1,1442006,9514165,3941627.270526649,73975863.589141,22093926.72015802,224649942.67982566
2025/26,proposition_Get A Job- H&SC,2768,25568354.45,39729651.1,96675,2646972,348857.6325381306,NA,NA,42822155.732538134
2025/26,NA,10017,39782036.6,59436782.1,779064,5366268,1262466.3674618695,NA,NA,66844580.46746187
2026/27,proposition_Get A Job- H&SC,884,11647969.049999999,16607000.799999999,40013,1207957,NA,NA,NA,17854970.799999997
2026/27,NA,3408,17955799.5,23870728.5,321752,2447792,NA,NA,NA,26640272.5
2027/28,proposition_Get A Job- H&SC,146,2824586.55,2926747.1999999997,9900,294795,NA,NA,NA,3231442.1999999997
2027/28,NA,643,4912366.75,4672032.649999999,77601,680310,NA,NA,NA,5429943.649999999
2014/15,proposition_Non-Core,1436,2399051.05,4386221,125099,136070,19108.97843757827,744504.0282797177,388877.17332666676,5799880.180043963
2014/15,NA,42483,179566600.4,326251745.55,4857124,18265646,565325.0215624217,64353856.1963926,16511432.99580147,430805129.7637565
2015/16,proposition_Non-Core,1744,2587857.3,4720657.75,150689,149128,26866.3219822687,1232045.2241110294,651530.2458628452,6930916.541956143
2015/16,NA,42246,177787412.7,322976613.95,4827723,18281378,650799.6780177313,67636227.21061857,17518522.846960325,431891264.6855966
2016/17,proposition_Non-Core,2016,2944063.4,5367648,170059,173131,108258.635268396,1314992.7035913337,713177.9895622828,7847267.328422013
2016/17,NA,41893,172015637.29999998,312459686.34999996,4788124,17968376,2249642.3647316042,72420872.40841033,18956799.24255775,428843500.36569965
2017/18,proposition_Non-Core,3644,4689438.95,8563699,267522,282703,203711.83125461833,2936000.1432654066,1597184.4061323141,13850820.380652338
2017/18,NA,41015,160285582.9,291106997,4667996,17102879,2292876.1687453818,78927476.76368067,19819915.023466043,413918139.9558921
2018/19,proposition_Non-Core,5620,7246675.85,13233302.35,397977,443557,327178.9032173457,4165911.1124522868,2310920.3749854667,20878846.740655098
2018/19,NA,40132,151633365.75,275410188.95,4560581,16515321,2336360.0967826545,77431867.4012074,19861177.868477456,396115496.3164675
2019/20,proposition_Non-Core,4672,8247769.3,14985862.1,365541,496013,339796.6534439959,2175125.7856851197,1162909.3327231044,19525247.87185222
2019/20,NA,35209,133335106.35,242248359.5,4114039,14791605,2560766.346556004,76960143.21403795,20303694.152392667,360978607.21298665
2020/21,proposition_Non-Core,3843,8672444.6,15919559.9,278718,521897,366624.40686663816,1746688.2541253287,1026721.9401419412,19860209.501133908
2020/21,NA,28895,121855966,223313172.15,3197889,13452780,2756599.5931333615,56672443.471089564,15610233.972406661,315003118.1866296
2021/22,proposition_Non-Core,2052,6255961.75,11607642.5,169312,380142,207245.1964166162,954890.8398391921,325720.57413536945,13644953.110391177
2021/22,NA,29315,121918152,226860020.7,2617583,13890629,2960717.803583384,79455615.62063226,20109109.77131356,345893675.8955292
2022/23,proposition_Non-Core,1293,4477043.5,8397452.6,111407,280139,160066.06185630398,1180076.198476699,418071.67299436085,10547212.533327363
2022/23,NA,31234,126630440.64999999,236235119.5,2322653,14905667,3866591.9381436957,91645113.79155499,23650994.05172369,372626139.2814224
2023/24,proposition_Non-Core,738,2827230.9,5306198.1,63524,185056,114657.64448414472,561993.936512316,197843.36171886208,6429273.042715322
2023/24,NA,32847,133697517.45,245483199.4,2064206,16004236,5103197.355515855,88474302.48217718,24335943.54256206,381465084.7802551
2024/25,proposition_Non-Core,479,1613359.5,2725237.6999999997,33092,111066,84806.15651898958,931860.4684153115,304993.6813188181,4191056.006253119
2024/25,NA,27984,112607216.3,179981198.95,1579944,13791156,4954520.843481011,78291357.73720722,23364623.936710935,301962801.4673992
2025/26,proposition_Non-Core,198,833681.7,1324999.55,14628,58427,24954.411576065704,NA,NA,1423008.9615760657
2025/26,NA,12587,64516709.35,97841433.64999999,861112,7945084,1586369.5884239343,NA,NA,108233999.23842393
2026/27,proposition_Non-Core,62,308491.35,418923.35,2216,22154,NA,NA,NA,443293.35
2026/27,NA,4231,29295276.349999998,40058805.949999996,359550,3629000,NA,NA,NA,44047355.949999996
2027/28,proposition_Non-Core,12,80872.4,77073.75,227,5867,NA,NA,NA,83167.75
2027/28,NA,777,7656080.899999999,7521706.1,87274,968321,NA,NA,NA,8577301.1
2014/15,proposition_Education,425,427493.05,737057.95,37217,26554,5655.512420592454,13302403.213740978,2786533.8461273056,16895421.522288878
2014/15,NA,43494,181538157.54999998,329900907.75,4945006,18373790,578778.4875794075,51795957.01093135,14113776.323000828,419708215.57151157
2015/16,proposition_Education,421,406865.25,690687.0499999999,37164,25716,6485.505478517845,14851378.477212284,3181759.8298357488,18793190.86252655
2015/16,NA,43569,179968404.75,327006584.65,4941248,18402957,671180.4945214821,54016893.95751733,14988293.26298742,420027157.36502624
2016/17,proposition_Education,569,511062.5,881181.4,61462,32902,30555.140608986767,20517463.10233574,4518378.773871263,26041942.41681599
2016/17,NA,43340,174448637.35,316946153.8,4896722,18108198,2327345.859391013,53218402.00966596,15151598.45824877,410648420.12730575
2017/18,proposition_Education,832,670499.5499999999,1163516.55,78657,44509,46511.592646499026,27778856.302415673,6058231.665365556,35170282.11042773
2017/18,NA,43827,164304521.45,298507180.3,4856861,17341574,2450076.407353501,54084620.604530424,15358867.7642328,392599180.07611674
2018/19,proposition_Education,958,800484.1,1389459.3,92609,53810,55770.558477039755,27463717.27855377,6136943.941630003,35192310.07866081
2018/19,NA,44795,158079557.5,287254032,4865949,16903826,2607768.4415229606,54134061.23510595,16035154.301832926,381800790.97846186
2019/20,proposition_Education,950,742308.4,1311647.75,89980,51763,69093.92567889471,38924165.82067091,8862928.446088927,49309578.94243873
2019/20,NA,38931,140840567.25,255922573,4389601,15234419,2831469.0743211056,40211103.17905219,12603675.039026843,331192840.2924001
2020/21,proposition_Education,917,779281.7,1400695.45,81427,54912,87482.32659295009,28928864.45619777,7003171.741996416,37556552.97478713
2020/21,NA,31821,129749128.89999999,237832035.75,3395181,13919548,3035741.67340705,29490267.269017134,9633784.170552181,297306557.8629764
2021/22,proposition_Education,878,921551.2999999999,1702671.55,80612,68453,88675.08891510186,38864162.899432495,9168663.376668638,49973237.915016234
2021/22,NA,30489,127252562.45,236764990.79999998,2706283,14202591,3079287.9110848983,41546343.561038986,11266166.968780288,309565663.24090415
2022/23,proposition_Education,861,861047.45,1600320.5,65428,64335,106586.91357948781,47552179.14836336,11293693.733836643,60682543.29577949
2022/23,NA,31666,130246437.55,243032252.45,2368632,15121182,3920071.0864205123,45273010.84166837,12775371.990881396,322490520.3689703
2023/24,proposition_Education,709,734494.35,1350865.9,51938,54443,110152.12728896829,45491919.10004539,11282516.84811419,58341834.97544855
2023/24,NA,32876,135790254,249438531.6,2075792,16133747,5107702.872711032,43544377.31864416,13251270.05616672,329551420.8475219
2024/25,proposition_Education,854,606903.4,941825.5,38189,45172,151199.28531778097,48900119.54220038,13287316.513783762,63363821.841301925
2024/25,NA,27609,113613672.39999999,181764610.29999998,1574847,13854170,4888127.714682219,30323098.663422175,10382301.10424599,242787154.78235036
2025/26,proposition_Education,408,319780.2,453766.55,19143,23489,51421.211732499025,NA,NA,547819.761732499
2025/26,NA,12377,65030610.85,98712666.64999999,856597,7977991,1559902.788267501,NA,NA,109107157.4382675
2026/27,proposition_Education,154,148386.19999999998,183788.69999999998,8537,10885,NA,NA,NA,203210.69999999998
2026/27,NA,4139,29455382.349999998,40293940.6,353229,3639294,NA,NA,NA,44286463.6
2027/28,proposition_Education,34,48892,46872.4,2485,3620,NA,NA,NA,52977.4
2027/28,NA,755,7688061.3,7551907.45,85016,970285,NA,NA,NA,8607208.45
