Cohort years,group,Cohort count,"Salaries (-dw, attribution, and displacement) (£)","GVA (-dw, attribution, and displacement) (£)",Savings from reduced reoffending (£),Savings to DWP/Health (£),Volunteer value (mentor and non-mentor) (£),WELLBY (-dw and attribution) (£),Volunteers (-attribution) (£),Total savings (£)
2024/25,Edinburgh,703,2468779.9499999997,3916618.9499999997,34181,319580,124464.98545480096,1900275.0096003837,552018.8011774721,6847138.746232657
2024/25,Glasgow City Region,1514,5064573.7,8037274.45,58503,632943,268051.19200365385,8186716.279815657,2327305.995894999,19510793.91771431
2024/25,Greater Birmingham and The Black Country,1692,7729184.3,11435151.15,73709,911285,299565.79714014684,3223876.8998659695,1003910.0871055698,16947497.93411169
2024/25,Greater London,3536,18519004.4,29433585.8,182198,1938869,626042.9424867372,9915216.3991604,2904356.6758848145,45000268.81753195
2024/25,Greater Manchester,2193,8344659.1,13292634.9,123084,1029758,388267.0172153322,5617237.6156248255,1541436.747918001,21992418.280758157
2024/25,Leeds City Region,1347,4218537.25,6484926.25,83205,531189,238484.11864525877,3371341.4087961693,1104037.6023549442,11813183.379796373
2024/25,Liverpool City Region,1050,4366823.149999999,6831066.649999999,52980,530272,185900.76063661597,4623171.585706309,1258840.0107997009,13482231.007142626
2024/25,Newcastle Met Area,648,1499139.9,2423181.6999999997,31438,251157,114727.32656431157,1055369.251270459,292477.74191264634,4168351.0197474165
2024/25,Nottinghamshire and Derby,634,2440604.15,3739504.4499999997,36355,329680,112248.64975582334,1148035.7057925595,272715.732323954,5638539.537872337
2024/25,NA,12376,51103377,84242198.64999999,773880,6311020,2191150.29870358,30870220.231341895,9338866.997963035,133727336.1780085
2025/26,Belfast City Region,467,854871.35,1230071.55,40022,123340,58852.5190051619,NA,NA,1452286.069005162
2025/26,Bristol,382,2418963.15,3576834.85,16509,266497,48140.604411074615,NA,NA,3907981.4544110745
2025/26,Cardiff City Region,434,1836889.95,2546620.4,33279,281477,54693.775692163304,NA,NA,2916070.1756921634
2025/26,Edinburgh,327,1450344.8,2160328.55,20380,189227,41209.365556076955,NA,NA,2411144.915556077
2025/26,Glasgow City Region,718,3037827.75,4557813.05,32118,382388,90484.17268887846,NA,NA,5062803.222688878
2025/26,Greater Birmingham and The Black Country,751,4391270,6088129.25,38234,521082,94642.91600187705,NA,NA,6742088.166001877
2025/26,Greater London,1604,10582804.299999999,15659235.5,97308,1117511,202140.12951665887,NA,NA,17076194.629516657
2025/26,Greater Manchester,963,4788561.7,7123481.95,69891,589842,121359.6912247771,NA,NA,7904574.641224777
2025/26,Leeds City Region,625,2477884.3,3596977.3,47948,314260,78764.07789770061,NA,NA,4037949.3778977003
2025/26,Liverpool City Region,490,2646498.8,3912271.1999999997,27618,322236,61751.03707179728,NA,NA,4323876.237071797
2025/26,Newcastle Met Area,308,921541.1,1444008.9,17933,155163,38814.93758798686,NA,NA,1655919.8375879868
2025/26,Nottinghamshire and Derby,277,1330842.45,1904726.75,19822,181786,34908.23932426091,NA,NA,2141242.989324261
2025/26,NA,5440,28612093.95,45365933.1,414678,3554812,685562.5340215861,NA,NA,50020985.63402159
2026/27,Belfast City Region,165,410601,513447.6,17917,58787,NA,NA,NA,590151.6
2026/27,Bristol,133,1175896.8,1586033.7,6251,130224,NA,NA,NA,1722508.7
2026/27,Cardiff City Region,151,880243.85,1085943,15165,134363,NA,NA,NA,1235471
2026/27,Edinburgh,115,695266,921833.5,8968,90942,NA,NA,NA,1021743.5
2026/27,Glasgow City Region,257,1460557.55,1963092.8499999999,12681,185380,NA,NA,NA,2161153.8499999996
2026/27,Greater Birmingham and The Black Country,248,1987653.5999999999,2414992.8,14270,236291,NA,NA,NA,2665553.8
2026/27,Greater London,546,4888389.95,6330261.95,37769,520165,NA,NA,NA,6888195.95
2026/27,Greater Manchester,321,2170276.1,2796962.4,28215,267759,NA,NA,NA,3092936.4
2026/27,Leeds City Region,219,1202446.55,1579849.0999999999,21721,153859,NA,NA,NA,1755429.0999999999
2026/27,Liverpool City Region,172,1299525.9,1726890.5999999999,11104,159528,NA,NA,NA,1897522.5999999999
2026/27,Newcastle Met Area,110,464161.2,690176.2,8806,78460,NA,NA,NA,777442.2
2026/27,Nottinghamshire and Derby,90,542594.95,656255.25,7536,75297,NA,NA,NA,739088.25
2026/27,NA,1766,12426153.4,18211990.349999998,171360,1558582,NA,NA,NA,19941932.349999998
2027/28,Belfast City Region,33,127862.95,110919.9,5505,18324,NA,NA,NA,134748.9
2027/28,Bristol,25,335052.14999999997,340258.39999999997,1537,37416,NA,NA,NA,379211.39999999997
2027/28,Cardiff City Region,29,278879.05,262717.14999999997,2803,43103,NA,NA,NA,308623.14999999997
2027/28,Edinburgh,22,206661.35,199336.05,1937,27654,NA,NA,NA,228927.05
2027/28,Glasgow City Region,50,415829.35,397550.1,3071,53735,NA,NA,NA,454356.1
2027/28,Greater Birmingham and The Black Country,45,526018.25,411607.39999999997,3383,63287,NA,NA,NA,478277.39999999997
2027/28,Greater London,102,1280309.95,1032948.9,7787,139680,NA,NA,NA,1180415.9
2027/28,Greater Manchester,60,601546.7,505563.85,7262,74956,NA,NA,NA,587781.85
2027/28,Leeds City Region,42,346419.2,337214.55,5690,44987,NA,NA,NA,387891.55
2027/28,Liverpool City Region,34,392579.3,391903.55,2846,48362,NA,NA,NA,443111.55
2027/28,Newcastle Met Area,21,133159.3,169181.44999999998,2980,22865,NA,NA,NA,195026.44999999998
2027/28,Nottinghamshire and Derby,16,145429.9,110397.15,1537,20503,NA,NA,NA,132437.15
2027/28,NA,309,2947204.15,3329181.4,41163,378956,NA,NA,NA,3749300.4
2014/15,proposition_Foundations,15695,22101439.9,39668322.75,2085503,2575176,208849.991575592,21462032.873493988,5886483.577096155,71886368.19216573
2014/15,NA,28225,159864210.7,290969642.95,2896720,15870835,375584.00842440804,43636327.35117835,11013826.592031976,364762935.9016347
